sample_ID	campaign	station	event	date_time	latitude	longitude	depth	sample_method	biome	ocean_region	biogeographic_province	size_fraction	depth_nominal	temperature	SST	SST_grad	O2	NO3	NO2	NO3NO2	PO43	SiOH4	Fe	NH4	ChlA	ChlA_fluo	fluorescence	PAR	NPP_C_mean8days	POC	PIC	SSD	bathymetry	coast_distance	Okubo_Weiss	Lyapunov	residence_time	age	salinity	angular_scattering_coef	optical_backscattering_coef	particle_backscattering_coef	optical_attenuation_coef	particle_optical_attenuation_coef	depth_mix_layer	depth_ChlA_max	depth_max_Brunt	depth_max_O2	depth_min_O2	depth_nitracline
TARA_N000000600	TARA_20100515Z	TARA_052	PUMP	2010-05-17T11:42	-16.9534	53.9601	DCM	SEQ-(100L-or-15min)_W0.8-5	Trades Biome	IO	Indian South Subtropical Gyre Province	0.8-5	75	24.8943	28.04713975	0.18796	192.6	0.006946565	0.005936726	0.5	0.18	3.22	0.001048266	0.01050256	0.18	38.1381	0.79292	41.145798	122.80175	39.1006126403809	0.000139623687573476	678	-4657	412.5201	0.274476	0.074677	2.138889	106	34.911	0.000379	-0.000142	0.000973	0.0293	0.054885	47	71	69	333	441	147.5
TARA_N000000616	TARA_20101031Z	TARA_078	PUMP	2010-11-04T10:24	-30.1367	-43.2899	SRF	SEQ-(100L-or-15min)_W>0.8	Trades Biome	SAO	South Atlantic Gyral Province	0.8->0.8	5	19.8541	20.8267705	3.7648	221.5	0.001974124	0.012364627	0	0	0.481	0.000862562	0.017718557	0.01	20.9027	NA	61.68	422.487	39.0039539337158	0.000204803662199993	802	-3887	554.4294	0.053558	0.14819	5.777778	68	36.324	0.00034	-0.000126	0.000685	0.0956	0.047251	34	113	40.667	316.5	409.167	435.5
TARA_N000000618	TARA_20101031Z	TARA_078	CAST	2010-11-04T18:16	-30.1484	-43.2705	DCM	SEQ-(100L-or-15min)_W>0.8	Trades Biome	SAO	South Atlantic Gyral Province	0.8->0.8	120	19.3092	20.8267705	1.5442	217.1	0.001974124	0.012364627	0.1	0	0.319	0.000862562	0.017718557	0.08	19.6634	NA	61.68	422.487	38.968807220459	0.000203360694285948	802	-3879	564.404	0.053558	0.14819	5.777778	68	36.275	0.000335	-0.000139	0.000592	0.0927	0.044325	34	113	40.667	316.5	409.167	435.5
TARA_N000000620	TARA_20101031Z	TARA_078	PUMP	2010-11-04T10:24	-30.1367	-43.2899	SRF	SEQ-(100L-or-15min)_W0.8-5	Trades Biome	SAO	South Atlantic Gyral Province	0.8-5	5	19.8541	20.8267705	3.7648	221.5	0.001974124	0.012364627	0	0	0.481	0.000862562	0.017718557	0.01	20.9027	NA	61.68	422.487	39.0039539337158	0.000204803662199993	802	-3887	554.4294	0.053558	0.14819	5.777778	68	36.324	0.00034	-0.000126	0.000685	0.0956	0.047251	34	113	40.667	316.5	409.167	435.5
TARA_N000000622	TARA_20101031Z	TARA_078	CAST	2010-11-04T18:16	-30.1484	-43.2705	DCM	SEQ-(100L-or-15min)_W0.8-5	Trades Biome	SAO	South Atlantic Gyral Province	0.8-5	120	19.3092	20.8267705	1.5442	217.1	0.001974124	0.012364627	0.1	0	0.319	0.000862562	0.017718557	0.08	19.6634	NA	61.68	422.487	38.968807220459	0.000203360694285948	802	-3879	564.404	0.053558	0.14819	5.777778	68	36.275	0.000335	-0.000139	0.000592	0.0927	0.044325	34	113	40.667	316.5	409.167	435.5
TARA_N000000625	TARA_20101031Z	TARA_078	NET	2010-11-04T14:24	-30.2163	-43.275	SRF	SEQ-(500mL-or-15min)_N5-20	Trades Biome	SAO	South Atlantic Gyral Province	5-20	5	20.0792	20.941132	1.5381	221.6	0.001974124	0.012364627	0	0	0.481	0.000862562	0.017718557	0	22.8016	NA	61.669502	422.487	35.9232139587402	0.000158979368279688	802	-3875	561.0234	0.053558	0.14819	5.777778	68	36.323	0.000337	-0.000129	0.000659	0.0972	0.048895	34	113	40.667	316.5	409.167	435.5
TARA_N000000640	TARA_20100905Z	TARA_071	PUMP	2010-09-28T08:14	-9.3	-9.5587	SRF	SEQ-(100L-or-15min)_W0.8-5	Trades Biome	SAO	Eastern Tropical Atlantic Province	0.8-5	5	23.7757	23.2387585	0.48883	201	0.012456896	0.029690714	0	0.139	1.591	0.001243577	0.012844777	0.06	53.48	NA	NA	NA	NA	NA	729	-3684	498.0068	0.00506	0.024995	0	120	36.35	0.000369	-0.000108	0.000891	0.1061	0.052096	63	78	75.5	28.5	419	89.5
TARA_N000000642	TARA_20100905Z	TARA_071	NET	2010-09-28T12:14	-9.2612	-9.68	SRF	SEQ-(500mL-or-15min)_N5-20	Trades Biome	SAO	Eastern Tropical Atlantic Province	5-20	5	23.8292	23.683418	0.25556	201.6	0.012456896	0.029690714	0	0.139	1.591	0.001243577	0.012844777	0.05	26.8609	NA	NA	NA	NA	NA	729	-3722	544.1703	0.00506	0.024995	0	120	36.39	0.000372	-0.000106	0.000905	0.1215	0.068342	63	78	75.5	28.5	419	89.5
TARA_N000000644	TARA_20100905Z	TARA_071	NET	2010-09-28T10:20	-9.28	-9.6193	SRF	SEQ-(500mL-or-15min)_N20-180	Trades Biome	SAO	Eastern Tropical Atlantic Province	20-180	5	23.7757	23.611718	0.48883	201	0.012456896	0.029690714	0	0.139	1.591	0.001243577	0.012844777	0.06	53.48	NA	NA	NA	NA	NA	729	-3684	498.0068	0.00506	0.024995	0	120	36.35	0.000369	-0.000108	0.000891	0.1061	0.052096	63	78	75.5	28.5	419	89.5
TARA_N000000646	TARA_20100905Z	TARA_071	NET	2010-09-28T08:37	-9.2942	-9.5714	SRF	SEQ-(500mL-or-15min)_N180-2000	Trades Biome	SAO	Eastern Tropical Atlantic Province	180-2000	5	23.7757	23.2387585	0.48883	201	0.012456896	0.029690714	0	0.139	1.591	0.001243577	0.012844777	0.06	53.48	NA	NA	NA	NA	NA	729	-3684	498.0068	0.00506	0.024995	0	120	36.35	0.000369	-0.000108	0.000891	0.1061	0.052096	63	78	75.5	28.5	419	89.5
TARA_N000000648	TARA_20100905Z	TARA_071	PUMP	2010-09-28T08:14	-9.3	-9.5587	SRF	SEQ-(100L-or-15min)_W>0.8	Trades Biome	SAO	Eastern Tropical Atlantic Province	0.8->0.8	5	23.7757	23.2387585	0.48883	201	0.012456896	0.029690714	0	0.139	1.591	0.001243577	0.012844777	0.06	53.48	NA	NA	NA	NA	NA	729	-3684	498.0068	0.00506	0.024995	0	120	36.35	0.000369	-0.000108	0.000891	0.1061	0.052096	63	78	75.5	28.5	419	89.5
TARA_N000000662	TARA_20100905Z	TARA_070	NET	2010-09-21T08:23	-20.3943	-3.2085	SRF	SEQ-(500mL-or-15min)_N20-180	Trades Biome	SAO	South Atlantic Gyral Province	20-180	5	19.7768	20.33831425	0.33937	215.7	0.029039364	0.031308781	1	0.364	1.362	0.000787816	0.015283077	0.14	30.7687	1.43848	38.36217	440.215	58.252010345459	0.000210449732549023	725	-4912	1161.2626	0.009208	0.047133	0	120	36.376	0.000361	-0.000119	0.000829	0.1183	0.065257	147	54	153.8	28.6	238.6	158
